            151   0        Seq               Begin       >       [0x400, line 0x400] ST PC 106 0x6a
            152   0    L1Cache               Store     NP>IM     [0x400, line 0x400] 
            153   0  Directory         Memory_Data     IM>M      [0x400, line 0x400] 
            158   0  Directory         Memory_Data     IM>M      [0xdc0, line 0xdc0] 
            160   0    L2Cache            Mem_Data     IM>MT_MB  [0x400, line 0x400] 
            161   0        Seq               Begin       >       [0x19ec, line 0x19c0] ST PC 252 0xfc
            162   0    L1Cache      L1_Replacement     IM>IM     [0x58c0, line 0x58c0] 
            163   0  Directory         Memory_Data     IM>M      [0x36c0, line 0x36c0] 
            164   0    L2Cache             L1_GETX  MT_MB>MT_MB  [0x400, line 0x400] 
            165   0    L2Cache            Mem_Data     IM>MT_MB  [0xdc0, line 0xdc0] 
            167 core  1        Seq                Done       >       [0x424, line 0x400] 96 cycles
            167   1    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
            170   0    L2Cache            Mem_Data     IM>MT_MB  [0x36c0, line 0x36c0] 
            171   3        Seq               Begin       >       [0x46ed, line 0x46c0] ST PC 297 0x129
            172   3    L1Cache               Store      I>IM     [0x46c0, line 0x46c0] 
            172 core  2        Seq                Done       >       [0xdec, line 0xdc0] 151 cycles
            172   2    L1Cache       Data_all_Acks     IM>M      [0xdc0, line 0xdc0] 
            172   2    L1Cache      L1_Replacement     IM>IM     [0x3bc0, line 0x3bc0] 
            174   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
            174   0    L2Cache             L1_GETX     MT>MT_MB  [0x400, line 0x400] 
            174   0    L2Cache             L1_GETX  MT_MB>MT_MB  [0x400, line 0x400] 
            177 core  3        Seq                Done       >       [0x36e8, line 0x36c0] 146 cycles
            177   3    L1Cache       Data_all_Acks     IM>M      [0x36c0, line 0x36c0] 
            179   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0xdc0, line 0xdc0] 
            179   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0xdc0, line 0xdc0] 
            179   0    L2Cache             L1_GETX     NP>IM     [0x1bc0, line 0x1bc0] 
            179   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x36c0, line 0x36c0] 
            180   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x36c0, line 0x36c0] 
            180   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x36c0, line 0x36c0] 
            180   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x36c0, line 0x36c0] 
            181   1    L1Cache            Fwd_GETX      M>I      [0x400, line 0x400] 
            181   0        Seq               Begin       >       [0x62ec, line 0x62c0] ST PC 325 0x145
            182   0    L1Cache      L1_Replacement     IM>IM     [0x58c0, line 0x58c0] 
            184   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x36c0, line 0x36c0] 
            184   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x36c0, line 0x36c0] 
            184   0    L2Cache             L1_GETX     NP>IM     [0x3bc0, line 0x3bc0] 
            184   0    L2CacheL2_Replacement_clean     IM>IM     [0x1bc0, line 0x1bc0] 
            185   0    L2CacheL2_Replacement_clean     IM>IM     [0x1bc0, line 0x1bc0] 
            185   0    L2CacheL2_Replacement_clean     IM>IM     [0x1bc0, line 0x1bc0] 
            186   2    L1Cache                 Inv      M>I      [0xdc0, line 0xdc0] 
            187   0  Directory               Fetch      I>IM     [0x1bc0, line 0x1bc0] 
            189 core  3        Seq                Done       >       [0x428, line 0x400] 98 cycles
            189   3    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
            191   3    L1Cache                 Inv      M>I      [0x36c0, line 0x36c0] 
            191   2        Seq               Begin       >       [0x8e8, line 0x8c0] ST PC 136 0x88
            192   2    L1Cache      L1_Replacement     IM>IM     [0x3bc0, line 0x3bc0] 
            192   0  Directory               Fetch      I>IM     [0x3bc0, line 0x3bc0] 
            194   0    L2Cache             WB_Data  MCT_I>M_I    [0xdc0, line 0xdc0] 
            196   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
            196   0    L2Cache             L1_GETX     MT>MT_MB  [0x400, line 0x400] 
            199   0    L2Cache             WB_Data  MCT_I>M_I    [0x36c0, line 0x36c0] 
            201   3        Seq               Begin       >       [0x429, line 0x400] ST PC 116 0x74
            202 core  3        Seq                Done       >       [0x429, line 0x400] 1 cycles
            202   3    L1Cache               Store      M>M      [0x400, line 0x400] 
            202   0  Directory                Data      M>MI     [0xdc0, line 0xdc0] 
            203   3    L1Cache            Fwd_GETX      M>I      [0x400, line 0x400] 
            207   0  Directory                Data      M>MI     [0x36c0, line 0x36c0] 
            211 core  0        Seq                Done       >       [0x400, line 0x400] 60 cycles
            211   0    L1Cache       Data_all_Acks     IM>M      [0x400, line 0x400] 
            211   0        Seq               Begin       >       [0x53ec, line 0x53c0] ST PC 310 0x136
            212   0    L1Cache      L1_Replacement     IM>IM     [0x58c0, line 0x58c0] 
            214   0  Directory          Memory_Ack     MI>I      [0xdc0, line 0xdc0] 
            218   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x400, line 0x400] 
            219   0  Directory          Memory_Ack     MI>I      [0x36c0, line 0x36c0] 
            221   0    L2Cache             Mem_Ack    M_I>NP     [0xdc0, line 0xdc0] 
            226   0    L2Cache             Mem_Ack    M_I>NP     [0x36c0, line 0x36c0] 
            231   0        Seq               Begin       >       [0x41c, line 0x400] ST PC 113 0x71
            232 core  0        Seq                Done       >       [0x41c, line 0x400] 1 cycles
            232   0    L1Cache               Store      M>M      [0x400, line 0x400] 
            234   0  Directory         Memory_Data     IM>M      [0x1bc0, line 0x1bc0] 
            239   0  Directory         Memory_Data     IM>M      [0x3bc0, line 0x3bc0] 
            241   0    L2Cache            Mem_Data     IM>MT_MB  [0x1bc0, line 0x1bc0] 
            241   3        Seq               Begin       >       [0x40ec, line 0x40c0] ST PC 291 0x123
            242   3    L1Cache      L1_Replacement     IM>IM     [0x46c0, line 0x46c0] 
            246   0    L2Cache            Mem_Data     IM>MT_MB  [0x3bc0, line 0x3bc0] 
            248 core  1        Seq                Done       >       [0x1be8, line 0x1bc0] 207 cycles
            248   1    L1Cache       Data_all_Acks     IM>M      [0x1bc0, line 0x1bc0] 
            248   1    L1Cache      L1_Replacement      I>I      [0x3fc0, line 0x3fc0] 
            248   1    L1Cache               Store     NP>IM     [0x2dc0, line 0x2dc0] 
            248   1    L1Cache      L1_Replacement      M>M_I    [0x1bc0, line 0x1bc0] 
            249   1    L1Cache               Store     NP>IM     [0x7c0, line 0x7c0] 
            249   1    L1Cache      L1_Replacement     IM>IM     [0x2dc0, line 0x2dc0] 
            249   1    L1Cache      L1_Replacement     IM>IM     [0x2dc0, line 0x2dc0] 
            251   0        Seq               Begin       >       [0x3f8, line 0x3c0] ST PC 104 0x68
            252   0    L1Cache      L1_Replacement     IM>IM     [0x58c0, line 0x58c0] 
            253 core  2        Seq                Done       >       [0x3bec, line 0x3bc0] 202 cycles
            253   2    L1Cache       Data_all_Acks     IM>M      [0x3bc0, line 0x3bc0] 
            253   2    L1Cache      L1_Replacement      I>I      [0xdc0, line 0xdc0] 
            253   2    L1Cache               Store     NP>IM     [0xac0, line 0xac0] 
            253   2    L1Cache      L1_Replacement      M>M_I    [0x3bc0, line 0x3bc0] 
            254   2    L1Cache               Store     NP>IM     [0x8c0, line 0x8c0] 
            255   0    L2Cache   Exclusive_Unblock  MT_MB>MT     [0x1bc0, line 0x1bc0] 
            255   0    L2CacheL2_Replacement_clean     MT>MCT_I  [0x1bc0, line 0x1bc0] 
            255   0    L2Cache             L1_GETX     NP>IM     [0x58c0, line 0x58c0] 
            255   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x3bc0, line 0x3bc0] 
            256   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x3bc0, line 0x3bc0] 
            256   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x3bc0, line 0x3bc0] 
            256   0    L2CacheL2_Replacement_clean  MT_MB>MT_MB  [0x3bc0, line 0x3bc0] 
